Date,AMZN,BA,DIS,IBM,KO,MSFT
2015-04-22,389.8,134.43,101.83,137.37,36.19,39.13
2015-04-23,389.99,133.25,102.83,141.42,35.88,39.45
2015-04-24,445.1,131.95,103.33,141.04,35.83,43.57
2015-04-27,438.56,131.41,103.93,141.83,35.77,43.72
2015-04-28,429.31,131.15,103.7,144.48,35.72,44.75
2015-04-29,429.37,129.95,103.6,144.88,35.48,44.66
2015-04-30,421.78,127.45,102.57,142.3,35.54,44.27
2015-05-01,422.87,128.63,104.26,144.27,35.84,44.29
2015-05-04,423.04,128.05,104.75,144.52,35.89,43.91
2015-05-05,421.19,127.06,104.54,143.78,35.7,43.33
2015-05-06,419.1,126.21,103.51,142.33,35.62,42.13
2015-05-07,426.88,126.61,103.08,144.22,35.66,42.51
2015-05-08,433.69,130.16,103.88,145.65,35.9,43.46
2015-05-11,432.85,130.55,102.45,144.33,35.87,43.12
2015-05-12,431.02,130.13,103.06,143.85,35.65,43.1
2015-05-13,426.87,130.3,103.01,145.31,35.97,43.35
2015-05-14,432.28,132.4,103.71,146.81,36.36,44.35
2015-05-15,426.0,131.43,104.06,146.14,36.38,43.96
2015-05-18,425.24,131.28,104.09,145.97,36.2,43.7
2015-05-19,421.71,131.58,104.3,146.32,36.19,43.59
2015-05-20,423.86,131.02,103.96,146.56,36.23,43.59
2015-05-21,431.63,131.85,104.14,146.21,36.12,43.44
2015-05-22,427.63,129.58,104.02,145.26,36.11,42.97
2015-05-26,425.47,127.78,103.25,143.5,35.91,42.68
2015-05-27,431.42,127.96,104.12,145.08,36.03,43.62
2015-05-28,426.57,127.36,104.27,144.83,36.04,43.47
2015-05-29,429.23,125.74,104.12,143.09,35.89,42.93
2015-06-01,430.92,126.39,104.68,143.54,35.87,43.27
2015-06-02,430.99,128.18,104.48,143.09,35.91,42.99
2015-06-03,436.59,128.68,104.88,143.32,35.81,42.92
2015-06-04,430.78,126.34,104.06,142.02,35.56,42.47
2015-06-05,426.95,125.93,104.06,141.2,35.13,42.27
2015-06-08,423.5,125.85,103.1,139.46,35.19,41.9
2015-06-09,425.48,125.36,102.38,139.75,35.22,41.82
2015-06-10,430.77,126.72,103.77,142.48,35.34,42.7
2015-06-11,432.97,127.92,104.36,142.36,35.42,42.55
2015-06-12,429.92,127.78,103.73,140.85,35.3,42.12
2015-06-15,423.67,127.32,103.94,140.23,34.97,41.67
2015-06-16,427.26,127.37,104.77,140.72,35.41,41.99
2015-06-17,427.81,128.34,105.18,141.0,35.57,42.12
2015-06-18,439.39,130.09,106.81,141.91,35.91,42.8
2015-06-19,434.92,129.87,106.25,140.85,35.69,42.24
2015-06-22,436.29,130.38,107.1,141.47,35.76,42.35
2015-06-23,445.99,129.24,107.93,142.23,35.67,42.06
2015-06-24,440.84,127.96,107.33,140.83,35.5,41.81
2015-06-25,440.1,127.47,107.97,140.08,35.35,41.82
2015-06-26,438.1,127.49,108.48,139.56,35.34,41.47
2015-06-29,429.86,124.14,106.65,137.46,34.81,40.65
2015-06-30,434.09,124.13,107.68,137.2,34.66,40.45
2015-07-01,437.39,125.93,109.25,138.74,34.89,40.72
2015-07-02,437.71,125.46,109.09,139.25,34.88,40.68
2015-07-06,436.04,125.74,109.79,138.94,34.82,40.67
2015-07-07,436.72,128.09,111.12,139.17,35.56,40.59
2015-07-08,429.7,126.99,109.3,137.62,35.21,40.53
2015-07-09,434.39,127.78,109.69,138.2,35.26,40.79
2015-07-10,443.51,129.28,110.49,140.82,35.68,40.87
2015-07-13,455.57,131.2,112.02,142.87,35.92,41.72
2015-07-14,465.57,132.21,111.83,142.22,36.37,41.8
2015-07-15,461.19,131.44,112.25,142.15,36.33,41.92
